Nombre,FechaEntrada,TiempoVida,Ingresos,Egresos,RangoFechas
Peck Deck,15/01/2023,24,8270,4617,25/02/2023 - 15/02/2024
Banca 1,20/03/2023,18,1860,3404,14/08/2021 - 15/04/2022
Banca 2,11/05/2022,36,6390,974,01/02/2022 - 08/09/2022
Press de Pecho,10/05/2023,12,6191,1582,09/03/2022 - 23/11/2022
Polea Alta,25/07/2021,48,6734,3058,28/08/2022 - 11/02/2023
Bicicleta Estática 1,14/06/2022,30,7265,2547,21/09/2021 - 27/05/2022
Bicicleta Estática 2,01/08/2023,15,1466,3247,27/06/2022 - 19/04/2023
Bicicleta Estática 3,18/09/2023,20,5426,1475,31/03/2023 - 16/06/2023
Bicicleta Estática 4,07/10/2022,40,6578,2306,20/02/2023 - 13/10/2023
Elíptica,22/12/2021,36,9322,689,25/05/2023 - 26/07/2023
Máquina Smith 1,10/02/2023,18,2685,3234,16/03/2023 - 14/10/2023
Máquina Smith 2,05/04/2023,12,1769,3505,07/06/2021 - 02/09/2021
Máquina Hack 1,15/06/2023,24,7949,2399,14/07/2023 - 10/07/2024
Máquina Hack 2,25/03/2023,18,3433,1767,18/12/2022 - 13/08/2023
Prensa Pierna 1,09/05/2023,12,6311,2028,03/06/2023 - 06/07/2023
Prensa Pierna 2,12/08/2022,30,6051,3702,06/05/2022 - 15/11/2022
Caminadora 1,25/07/2021,48,7420,4056,02/11/2022 - 23/12/2022
Caminadora 2,01/01/2023,24,2184,4390,18/09/2022 - 17/03/2023
Máquina Remo 1,12/02/2023,20,5555,1146,11/04/2021 - 11/11/2021
Máquina Remo 2,03/03/2023,18,4385,3388,28/12/2022 - 22/09/2023
